sentence_id,sentence,candidate,cand_norm,cand_type,is_gold,token_pos,mt_score,mt_pred,is_named_entity,gold_terms,source_dataset,term_type,spanish_sentence,spanish_back_to_english_sentence,spanish_best_back_translation_word,spanish_fuzz_ratio,spanish_specialized,spanish_term_failed_to_translate,arabic_sentence,arabic_back_to_english_sentence,arabic_best_back_translation_word,arabic_fuzz_ratio,arabic_specialized,arabic_term_failed_to_translate,chinese_sentence,chinese_back_to_english_sentence,chinese_best_back_translation_word,chinese_fuzz_ratio,chinese_specialized,chinese_term_failed_to_translate,japanese_sentence,japanese_back_to_english_sentence,japanese_best_back_translation_word,japanese_fuzz_ratio,japanese_specialized,japanese_term_failed_to_translate,specialized_votes,normal_votes,component_token_positions,zipf,rare_or_unknown,is_acronym,has_digit,has_symbol,has_repeated_char,sc_score,sc_pred
0,"Mate, IRL you fold faster than a Walmart chair",Mate,mate,is_single_word,1,0,1.0,1,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",faster,60.0,1.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",faster,60.0,1.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",faster,60.0,1.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",faster,60.0,1.0,0.0,4.0,0.0,,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0
0,"Mate, IRL you fold faster than a Walmart chair",IRL,irl,is_single_word,1,1,1.0,1,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",real,57.14285714285714,1.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",chair,50.0,1.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",real,57.14285714285714,1.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",real,57.14285714285714,1.0,0.0,4.0,0.0,,3.43,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0
0,"Mate, IRL you fold faster than a Walmart chair",you,you,is_single_word,0,2,0.0,0,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",you,100.0,0.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",you,100.0,0.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",you,100.0,0.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",you,100.0,0.0,0.0,0.0,4.0,,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0
0,"Mate, IRL you fold faster than a Walmart chair",fold,fold,is_single_word,1,3,0.25,0,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",friend,40.0,1.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",fold,100.0,0.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",fold,100.0,0.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",fold,100.0,0.0,0.0,1.0,3.0,,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0
0,"Mate, IRL you fold faster than a Walmart chair",faster,faster,is_single_word,0,4,0.0,0,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",faster,100.0,0.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",faster,100.0,0.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",faster,100.0,0.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",faster,100.0,0.0,0.0,0.0,4.0,,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0
0,"Mate, IRL you fold faster than a Walmart chair",than,than,is_single_word,0,5,0.0,0,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",than,100.0,0.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",than,100.0,0.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",than,100.0,0.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",than,100.0,0.0,0.0,0.0,4.0,,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0
0,"Mate, IRL you fold faster than a Walmart chair",a,a,is_single_word,0,6,0.0,0,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",a,100.0,0.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",a,100.0,0.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",a,100.0,0.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",a,100.0,0.0,0.0,0.0,4.0,,7.36,0.0,0.0,0.0,0.0,0.0,0.0,0
0,"Mate, IRL you fold faster than a Walmart chair",Walmart,walmart,is_single_word,0,7,0.0,0,1.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",walmart,100.0,0.0,1.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",walmart,100.0,0.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",walmart,100.0,0.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",walmart,100.0,0.0,0.0,0.0,4.0,,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0
0,"Mate, IRL you fold faster than a Walmart chair",chair,chair,is_single_word,0,8,0.0,0,0.0,fold; irl; mate,genz-alpha-slangs,slang,"Amigo, en la vida real, tú te rindes más rápido que una silla de Walmart.","Friend, in real life, you give up faster than a Walmart chair.",chair,100.0,0.0,0.0,أيها الإخوة، في الواقع، أنت ت折 بشكل أسرع من كرسي وولمارت.,"Oh brothers, in fact, you fold faster than a Walmart chair.",chair,100.0,0.0,0.0,老兄，你在现实生活中折叠得比沃尔玛椅子还快。,"Old fellow, you fold up in real life faster than a Walmart chair.",chair,100.0,0.0,0.0,お前、リアルタイムでワルマートの椅子より速く折れるぞ。,"You, you can fold faster than a Walmart chair in real time.",chair,100.0,0.0,0.0,0.0,4.0,,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0
1,"Homie, this vibe is straight mid",Homie,homie,is_single_word,1,0,1.0,1,1.0,homie; mid,genz-alpha-slangs,slang,"Hombre, esta onda es completamente normal.","Dude, this wave is completely normal.",this,44.44444444444444,1.0,0.0,أخي، هذه الطاقة على صراحة وسط,"Brother, this energy is on the surface honestly.",the,50.0,1.0,0.0,兄弟，这种气氛超级平淡。,"Brother, this kind of atmosphere is super dull.",this,44.44444444444444,1.0,0.0,ホミー、この気分はまさに真っ直ぐだ。,"Homi, this mood is just straightforward.",homi,88.88888888888889,1.0,0.0,4.0,0.0,,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0
1,"Homie, this vibe is straight mid",this,this,is_single_word,0,1,0.0,0,0.0,homie; mid,genz-alpha-slangs,slang,"Hombre, esta onda es completamente normal.","Dude, this wave is completely normal.",this,100.0,0.0,0.0,أخي، هذه الطاقة على صراحة وسط,"Brother, this energy is on the surface honestly.",this,100.0,0.0,0.0,兄弟，这种气氛超级平淡。,"Brother, this kind of atmosphere is super dull.",this,100.0,0.0,0.0,ホミー、この気分はまさに真っ直ぐだ。,"Homi, this mood is just straightforward.",this,100.0,0.0,0.0,0.0,4.0,,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0
1,"Homie, this vibe is straight mid",vibe,vibe,is_single_word,0,2,1.0,1,0.0,homie; mid,genz-alpha-slangs,slang,"Hombre, esta onda es completamente normal.","Dude, this wave is completely normal.",wave,50.0,1.0,0.0,أخي، هذه الطاقة على صراحة وسط,"Brother, this energy is on the surface honestly.",brother,36.36363636363637,1.0,0.0,兄弟，这种气氛超级平淡。,"Brother, this kind of atmosphere is super dull.",brother,36.36363636363637,1.0,0.0,ホミー、この気分はまさに真っ直ぐだ。,"Homi, this mood is just straightforward.",is,33.333333333333336,1.0,0.0,4.0,0.0,,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0
1,"Homie, this vibe is straight mid",is,is,is_single_word,0,3,0.0,0,0.0,homie; mid,genz-alpha-slangs,slang,"Hombre, esta onda es completamente normal.","Dude, this wave is completely normal.",is,100.0,0.0,0.0,أخي، هذه الطاقة على صراحة وسط,"Brother, this energy is on the surface honestly.",is,100.0,0.0,0.0,兄弟，这种气氛超级平淡。,"Brother, this kind of atmosphere is super dull.",is,100.0,0.0,0.0,ホミー、この気分はまさに真っ直ぐだ。,"Homi, this mood is just straightforward.",is,100.0,0.0,0.0,0.0,4.0,,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0
1,"Homie, this vibe is straight mid",straight,straight,is_single_word,0,4,1.0,1,0.0,homie; mid,genz-alpha-slangs,slang,"Hombre, esta onda es completamente normal.","Dude, this wave is completely normal.",this,33.333333333333336,1.0,0.0,أخي، هذه الطاقة على صراحة وسط,"Brother, this energy is on the surface honestly.",surface,40.0,1.0,0.0,兄弟，这种气氛超级平淡。,"Brother, this kind of atmosphere is super dull.",this,33.333333333333336,1.0,0.0,ホミー、この気分はまさに真っ直ぐだ。,"Homi, this mood is just straightforward.",straightforward,69.56521739130434,1.0,0.0,4.0,0.0,,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0
1,"Homie, this vibe is straight mid",mid,mid,is_single_word,1,5,1.0,1,0.0,homie; mid,genz-alpha-slangs,slang,"Hombre, esta onda es completamente normal.","Dude, this wave is completely normal.",is,40.0,1.0,0.0,أخي، هذه الطاقة على صراحة وسط,"Brother, this energy is on the surface honestly.",is,40.0,1.0,0.0,兄弟，这种气氛超级平淡。,"Brother, this kind of atmosphere is super dull.",kind,57.14285714285714,1.0,0.0,ホミー、この気分はまさに真っ直ぐだ。,"Homi, this mood is just straightforward.",homi,57.14285714285714,1.0,0.0,4.0,0.0,,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0
2,"Bro, you ghosted again",Bro,bro,is_single_word,1,0,1.0,1,0.0,bro; ghosted,genz-alpha-slangs,slang,"Hombre, volviste a hacerme desaparecer.","Man, you've done it again, made me disappear.",done,28.57142857142857,1.0,0.0,أخ، أنت فجعتني مرة أخرى.,"Brother, you've surprised me again.",brother,60.0,1.0,0.0,兄弟，你又幽灵了。,"Brother, you've ghosted me again.",brother,60.0,1.0,0.0,ブラ、またまた消えたね。,The balloon has disappeared again.,balloon,40.0,1.0,0.0,4.0,0.0,,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0
2,"Bro, you ghosted again",you,you,is_single_word,0,1,1.0,1,0.0,bro; ghosted,genz-alpha-slangs,slang,"Hombre, volviste a hacerme desaparecer.","Man, you've done it again, made me disappear.",you've,66.66666666666667,1.0,0.0,أخ، أنت فجعتني مرة أخرى.,"Brother, you've surprised me again.",you've,66.66666666666667,1.0,0.0,兄弟，你又幽灵了。,"Brother, you've ghosted me again.",you've,66.66666666666667,1.0,0.0,ブラ、またまた消えたね。,The balloon has disappeared again.,balloon,20.0,1.0,0.0,4.0,0.0,,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0
2,"Bro, you ghosted again",ghosted,ghosted,is_single_word,1,2,0.75,0,0.0,bro; ghosted,genz-alpha-slangs,slang,"Hombre, volviste a hacerme desaparecer.","Man, you've done it again, made me disappear.",done,36.36363636363637,1.0,0.0,أخ، أنت فجعتني مرة أخرى.,"Brother, you've surprised me again.",brother,42.85714285714286,1.0,0.0,兄弟，你又幽灵了。,"Brother, you've ghosted me again.",ghosted,100.0,0.0,0.0,ブラ、またまた消えたね。,The balloon has disappeared again.,the,40.0,1.0,0.0,3.0,1.0,,2.66,1.0,0.0,0.0,0.0,0.0,0.0,0
2,"Bro, you ghosted again",again,again,is_single_word,0,3,0.0,0,0.0,bro; ghosted,genz-alpha-slangs,slang,"Hombre, volviste a hacerme desaparecer.","Man, you've done it again, made me disappear.",again,100.0,0.0,0.0,أخ، أنت فجعتني مرة أخرى.,"Brother, you've surprised me again.",again,100.0,0.0,0.0,兄弟，你又幽灵了。,"Brother, you've ghosted me again.",again,100.0,0.0,0.0,ブラ、またまた消えたね。,The balloon has disappeared again.,again,100.0,0.0,0.0,0.0,4.0,,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0
3,"Homie, pull up or stay sus",Homie,homie,is_single_word,1,0,1.0,1,1.0,homie; sus,genz-alpha-slangs,slang,"Hombre, acércate o quédate así.","Man, come closer or stay like that.",come,66.66666666666667,1.0,0.0,أيها الإخوة، جاءوا أو تبقى مشكوكًا.,"Oh brothers, they came or they remain questionable.",they,44.44444444444444,1.0,0.0,兄弟，过来或者保持谨慎,"Brother, come over or be cautious.",come,66.66666666666667,1.0,0.0,ホミー、車を停めておいてススだ。,"Homi, the car to stop and let's go.",homi,88.88888888888889,1.0,0.0,4.0,0.0,,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0
3,"Homie, pull up or stay sus",pull,pull,is_single_word,0,1,1.0,1,0.0,homie; sus,genz-alpha-slangs,slang,"Hombre, acércate o quédate así.","Man, come closer or stay like that.",like,25.0,1.0,0.0,أيها الإخوة، جاءوا أو تبقى مشكوكًا.,"Oh brothers, they came or they remain questionable.",questionable,25.0,1.0,0.0,兄弟，过来或者保持谨慎,"Brother, come over or be cautious.",cautious,16.666666666666664,1.0,0.0,ホミー、車を停めておいてススだ。,"Homi, the car to stop and let's go.",stop,25.0,1.0,0.0,4.0,0.0,,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0
