batch,score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.008706,0.0,0.0,0.0,0,1,117,4475,1,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.01166,0.1197916666666666,0.1965811965811965,0.1488673139158576,23,169,94,4307,192,117,4593,1,1
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.028264,0.0861618798955613,0.282051282051282,0.132,33,350,84,4126,383,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.05412,0.0730434782608695,0.358974358974359,0.1213872832369942,42,533,75,3943,575,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.077597,0.0600522193211488,0.3931623931623931,0.1041902604756511,46,720,71,3756,766,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.105528,0.0501567398119122,0.4102564102564102,0.0893854748603352,48,909,69,3567,957,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.129388,0.0452567449956483,0.4444444444444444,0.0821484992101105,52,1097,65,3379,1149,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.149393,0.0417910447761194,0.4786324786324786,0.0768702814001372,56,1284,61,3192,1340,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.169223,0.0404964075767472,0.5299145299145299,0.0752427184466019,62,1469,55,3007,1531,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.187416,0.0365853658536585,0.5384615384615384,0.0685154975530179,63,1659,54,2817,1722,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.20667,0.0355276907001044,0.5811965811965812,0.0669620876415558,68,1846,49,2630,1914,117,4593,0,0
polish_youth_slang_batch_15,mean_similarity,mean_similarity,mean_similarity <= threshold,0.225358,0.0370546318289786,0.6666666666666666,0.0702070207020702,78,2027,39,2449,2105,117,4593,0,0
