candidate_type,score_column,threshold,precision,recall,f1,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
is_single_word,mt_score,0.0,0.0208521970705725,1.0,0.0408525291524274,37550,783,37550,0,0
is_single_word,mt_score,0.25,0.0298381205060176,0.9910600255427842,0.0579320642030608,26007,783,37550,0,0
is_single_word,mt_score,0.5,0.0471590909090909,0.9540229885057472,0.0898754737412019,15840,783,37550,0,0
is_single_word,mt_score,0.75,0.0753736881161878,0.9080459770114944,0.139193422083007,9433,783,37550,0,0
is_single_word,mt_score,1.0,0.134763948497854,0.8020434227330779,0.2307550982913834,4660,783,37550,1,1
is_single_word,mt_score,0.0,0.0269591290958696,1.0,0.0525028276823526,37019,998,37019,0,0
is_single_word,mt_score,0.25,0.0377380354590752,0.9789579158316634,0.0726745267229516,25889,998,37019,0,0
is_single_word,mt_score,0.5,0.0601919532193478,0.9488977955911824,0.1132030362799593,15733,998,37019,0,0
is_single_word,mt_score,0.75,0.0954692556634304,0.8867735470941884,0.1723802103622906,9270,998,37019,0,0
is_single_word,mt_score,1.0,0.1764034687357371,0.7745490981963928,0.287360594795539,4382,998,37019,1,1
is_single_word,mt_score,0.0,0.0232595573440643,1.0,0.0454616957684442,37275,867,37275,0,0
is_single_word,mt_score,0.25,0.0328545232273838,0.9919261822376008,0.0636024109751137,26176,867,37275,0,0
is_single_word,mt_score,0.5,0.0517479012655055,0.9527104959630912,0.0981638837720601,15962,867,37275,0,0
is_single_word,mt_score,0.75,0.0842576791808873,0.9111880046136102,0.1542516840769305,9376,867,37275,0,0
is_single_word,mt_score,1.0,0.1482039148203914,0.7946943483275664,0.2498187092095721,4649,867,37275,1,1
is_single_word,mt_score,0.0,0.0229878781260238,1.0,0.0449426207632772,36628,842,36628,0,0
is_single_word,mt_score,0.25,0.0326561087751011,0.9869358669833728,0.0632203583247746,25447,842,36628,0,0
is_single_word,mt_score,0.5,0.051535725832525,0.9465558194774348,0.0977494327589378,15465,842,36628,0,0
is_single_word,mt_score,0.75,0.0801911842804036,0.8966745843230404,0.1472165350492346,9415,842,36628,0,0
is_single_word,mt_score,1.0,0.1425178147268408,0.7838479809976246,0.2411839941531152,4631,842,36628,1,1
